time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2021-04-13,28.2,19.8,35.4,23,0.0,,13.9,,1009.8,,
2021-04-14,28.9,22.2,36.3,24,0.0,,13.4,,1008.6,,
2021-04-15,29.1,21.1,36.8,22,0.0,,11.4,,1007.4,,
2021-04-16,28.7,20.3,36.5,26,0.3,,11.4,,1006.6,,
2021-04-17,25.6,20.8,39.0,52,0.0,,11.8,,1010.9,,
2021-04-18,27.0,19.6,34.6,38,0.0,,10.0,,1012.0,,
2021-04-19,26.8,18.5,33.0,30,0.0,,12.7,,1007.4,,
2021-04-20,23.3,16.7,30.6,38,1.2,,13.6,,1007.2,,
2021-04-21,23.4,17.4,30.7,64,5.1,,10.1,,1009.2,,
2021-04-22,24.6,17.7,29.9,58,0.0,,11.8,,1012.3,,
2021-04-23,20.3,15.7,29.9,57,6.1,,9.9,,1010.9,,
2021-04-24,23.9,13.8,33.4,44,0.8,,11.4,,1010.7,,
2021-04-25,26.6,16.0,36.4,38,0.0,,10.5,,1009.8,,
2021-04-26,26.8,16.6,35.3,35,0.0,,10.9,,1007.7,,
2021-04-27,28.8,19.2,37.9,32,0.0,,12.1,,1006.8,,
2021-04-28,30.0,21.5,38.9,26,0.0,,12.2,,1007.6,,
2021-04-29,30.9,22.2,39.5,24,0.0,,10.5,,1007.4,,
2021-04-30,31.3,22.2,41.4,27,0.0,,8.4,,1007.1,,
2021-05-01,29.8,23.0,38.1,31,0.0,,7.3,,1007.7,,
2021-05-02,30.5,22.6,38.0,30,0.2,,7.4,,1007.6,,
2021-05-03,31.3,24.8,37.7,35,0.0,,7.9,,1006.3,,
2021-05-04,29.3,23.7,36.8,40,0.0,,8.1,,1005.8,,
2021-05-05,28.5,23.9,34.5,44,1.0,,8.1,,1006.7,,
2021-05-06,27.4,22.6,35.2,49,3.1,,11.7,,1008.1,,
2021-05-07,25.9,21.8,29.8,58,1.1,,6.3,,1010.3,,
2021-05-08,27.4,20.2,34.9,44,0.0,,8.0,,1008.4,,
2021-05-09,27.7,21.6,35.4,42,0.7,,9.4,,1006.7,,
2021-05-10,28.5,22.1,34.9,40,0.0,,8.2,,1004.9,,
2021-05-11,28.7,23.2,35.1,44,0.2,,8.7,,1004.3,,
2021-05-12,26.8,21.9,33.3,51,1.8,,7.6,,1003.0,,
2021-05-13,24.7,21.3,28.2,62,2.7,,7.5,,1004.3,,
2021-05-14,25.4,20.1,31.4,53,0.0,,6.7,,1004.3,,
2021-05-15,26.5,19.0,33.6,46,0.0,,6.1,,1004.8,,
2021-05-16,27.8,19.9,35.1,42,0.0,,8.5,,1006.5,,
2021-05-17,29.4,20.8,37.5,35,0.0,,7.8,,1005.7,,
2021-05-18,28.1,23.1,31.7,47,0.0,,11.7,,1005.5,,
2021-05-19,23.7,22.0,26.1,72,3.4,,5.7,,1004.4,,
2021-05-20,24.8,20.7,28.7,70,0.6,,9.1,,1001.7,,
2021-05-21,26.8,20.3,34.0,61,3.0,,6.4,,1004.3,,
2021-05-22,30.6,24.3,38.0,47,0.0,,7.5,,1004.2,,
2021-05-23,28.5,21.3,36.3,39,0.0,,9.8,,1004.3,,
